mq8air,,mq8h2,,mq8-33%,,mq8-85%,
ppm,rs/ro,ppm,rs/ro,temp,rs/ro,temp,rs/ro
"198,721846548806","68,5439666370833","198,721846548806","8,31214433377668",-10,"1,1659793814433","-9,85221674876848","1,09226804123711"
"297,635144163132","68,4077023697537","226,601696980353","7,08706937304157","-5,41871921182266","1,10567010309278","-5,56650246305419","1,04871134020619"
"423,83125724509","68,2886933696132","282,979116265528","5,3921846618562","0,344827586206897","1,0319587628866","-0,541871921182267","0,995103092783505"
"503,215935925999","68,2309637238827","339,392119787863","4,29391740069272","5,07389162561577","0,98840206185567","3,74384236453202","0,954896907216495"
"674,446287483576","68,1325963535195","407,051278179891","3,41934258564965","12,7586206896552","0,931443298969072","7,88177339901478","0,918041237113402"
"808,899816399594","68,0716120861487","498,159504861327","2,66155911234612","18,5221674876847","0,907989690721649","14,5320197044335","0,871134020618557"
1000,"68,0005327613303","622,099208979685","1,93521737864088","27,3891625615764","0,884536082474227","19,9261083743842","0,851030927835051"
"1175,37226513064","67,9464269059608","808,899816399594","1,37525982092403","35,2216748768473","0,874484536082474","26,3546798029557","0,840979381443299"
"1497,7474763452","67,8653488315207",1000,"0,977569815253679","43,6453201970444","0,874484536082474","33,1527093596059","0,844329896907216"
"2007,38918005463","67,7675085616638","1261,47077350984","0,727062982306303","47,7832512315271","0,874484536082474","39,3596059113301","0,837628865979381"
"3006,56207846949","67,6327878800932","1640,25843845573","0,482692313257786","49,8522167487685","0,867783505154639","45,2709359605911","0,834278350515464"
"4413,0296168378","67,5050513113946","2335,72146909012","0,292526633743665",,,"49,6305418719212","0,834278350515464"
"6676,69293918756","67,3675008378521","3226,79911994581","0,185536643207057",,,,
"8422,45300648462","67,2904611288047","3909,35638265274","0,138019474066553",,,,
10000,"67,2335753649933","4548,77794700378","0,112446600764558",,,,
,,"5974,69567997071","0,0697375080712143",,,,
,,"7927,25460628518","0,0432478888590436",,,,
,,"9412,04967268066","0,0321750178854766",,,,
